Train_No,Total_Distance,Number_of_Stops,Start_Departure_Minute,End_Arrival_Minute,Journey_Duration_Minutes
22884,1504,28,1360.0,340.0,1860.0
22885,1701,14,800.0,860.0,1500.0
22886,1704,14,1315.0,1425.0,1550.0
22887,1970,19,760.0,1295.0,1975.0
22888,1973,20,595.0,1110.0,1955.0
22889,550,13,1035.0,190.0,595.0
22890,550,13,1425.0,565.0,580.0
22891,469,14,770.0,1270.0,500.0
22892,466,15,415.0,915.0,500.0
22893,1795,16,835.0,1170.0,1775.0
22894,1801,16,875.0,1200.0,1765.0
22897,185,9,855.0,1057.0,202.0
22898,186,9,1095.0,1297.0,202.0
22901,944,16,1405.0,980.0,1015.0
22902,945,16,1260.0,820.0,1000.0
22903,838,8,1425.0,750.0,765.0
22904,838,8,960.0,315.0,795.0
22905,176,5,425.0,605.0,180.0
22906,176,5,980.0,1200.0,220.0
22907,1352,18,640.0,620.0,1420.0
22908,1348,18,195.0,270.0,1515.0
22909,2073,24,1215.0,585.0,2250.0
22910,2075,24,390.0,1190.0,2240.0
22911,1744,34,1410.0,405.0,1875.0
22912,1745,34,1065.0,95.0,1910.0
22914,1846,13,1390.0,455.0,1945.0
22915,1404,30,775.0,805.0,1470.0
22916,1405,30,945.0,1005.0,1500.0
22917,1610,26,705.0,950.0,1685.0
22918,1613,26,1125.0,1320.0,1635.0
22919,1721,12,1210.0,195.0,1865.0
22920,1719,12,930.0,1355.0,1865.0
22925,69,3,915.0,1005.0,90.0
22926,69,3,620.0,725.0,105.0
22927,480,22,1180.0,260.0,520.0
22928,480,17,1270.0,350.0,520.0
22929,234,14,985.0,1235.0,250.0
22930,234,14,420.0,665.0,245.0
22931,1226,27,875.0,770.0,1335.0
22932,1227,27,1160.0,1055.0,1335.0
22933,1146,15,950.0,645.0,1135.0
22934,1147,15,765.0,455.0,1130.0
22935,787,12,925.0,330.0,845.0
22936,787,12,1205.0,620.0,855.0
22937,1600,23,810.0,1005.0,1635.0
22938,1600,23,1110.0,1370.0,1700.0
22939,1689,23,1345.0,290.0,1825.0
22940,1697,23,490.0,890.0,1840.0
22941,1393,16,1435.0,85.0,1530.0
22942,1396,16,300.0,315.0,1455.0
22943,963,17,935.0,510.0,1015.0
22944,963,17,875.0,485.0,1050.0
22945,986,30,1295.0,935.0,1080.0
22946,986,31,790.0,430.0,1080.0
22949,1342,27,775.0,800.0,1465.0
22951,853,15,1435.0,930.0,935.0
22952,853,15,410.0,1345.0,935.0
22953,490,27,345.0,880.0,535.0
22954,490,27,420.0,955.0,535.0
22955,838,22,1065.0,530.0,905.0
22956,838,22,1215.0,685.0,910.0
22957,430,16,1330.0,360.0,470.0
22959,556,21,810.0,1420.0,610.0
22960,556,21,285.0,890.0,605.0
22961,547,18,810.0,1395.0,585.0
22962,547,18,295.0,890.0,595.0
22963,780,18,925.0,320.0,835.0
22964,780,18,1050.0,455.0,845.0
22965,929,10,1435.0,1010.0,1015.0
22966,931,10,1180.0,765.0,1025.0
22967,1488,20,840.0,1000.0,1600.0
22968,1487,20,1260.0,5.0,1625.0
22969,2023,23,825.0,170.0,2225.0
22970,2024,23,1315.0,530.0,2095.0
22971,1847,14,995.0,125.0,2010.0
22972,1846,14,1390.0,453.0,1943.0
22973,2436,38,1380.0,1140.0,2640.0
22974,2443,38,630.0,400.0,2650.0
22981,918,28,1040.0,600.0,1000.0
22982,919,28,1060.0,590.0,970.0
22983,432,14,390.0,855.0,465.0
22989,881,16,705.0,200.0,935.0
22990,881,16,780.0,285.0,945.0
22991,910,12,765.0,275.0,950.0
22992,910,12,765.0,315.0,990.0
22993,881,15,925.0,430.0,945.0
22994,881,15,1195.0,715.0,960.0
22995,185,4,380.0,590.0,210.0
22996,185,4,1230.0,1420.0,190.0
23141,30,3,255.0,305.0,50.0
23142,30,3,815.0,860.0,45.0
23225,109,11,760.0,950.0,190.0
23226,109,11,635.0,855.0,220.0
23345,81,6,1175.0,1320.0,145.0
23346,81,6,300.0,415.0,115.0
23347,204,11,1020.0,1380.0,360.0
23348,204,11,200.0,540.0,340.0
24041,24,3,335.0,385.0,50.0
24042,24,3,1325.0,1380.0,55.0
24227,349,15,285.0,695.0,410.0
24228,349,15,960.0,1410.0,450.0
24369,740,38,955.0,755.0,1240.0
24370,740,38,730.0,490.0,1200.0
24887,157,6,1150.0,1360.0,210.0
24888,157,6,285.0,545.0,260.0
25013,76,3,140.0,290.0,150.0
25014,76,3,1320.0,5.0,125.0
25035,76,3,1155.0,1245.0,90.0
25036,76,3,590.0,705.0,115.0
25201,58,6,1340.0,1435.0,95.0
25202,58,6,275.0,350.0,75.0
25631,173,4,5.0,195.0,190.0
25632,172,4,200.0,430.0,230.0
25657,1358,37,395.0,975.0,2020.0
25658,1357,37,630.0,1165.0,1975.0
28181,179,14,560.0,855.0,295.0
28182,179,14,900.0,1170.0,270.0
29019,276,8,845.0,1125.0,280.0
29020,276,8,525.0,820.0,295.0
30111,45,23,1094.0,1218.0,124.0
30112,33,19,1040.0,1147.0,107.0
30116,25,14,574.0,625.0,51.0
30121,51,26,660.0,776.0,116.0
30122,60,29,915.0,1048.0,133.0
30123,49,25,1183.0,1282.0,99.0
30128,66,32,494.0,641.0,147.0
30135,84,34,1094.0,1255.0,161.0
30142,128,42,337.0,530.0,193.0
30145,102,34,505.0,662.0,157.0
30152,53,21,978.0,1079.0,101.0
30154,53,21,1072.0,1167.0,95.0
30211,9,8,633.0,662.0,29.0
30311,28,18,790.0,865.0,75.0
30312,33,21,950.0,1042.0,92.0
30313,33,21,1210.0,1298.0,88.0
30314,41,23,1088.0,1180.0,92.0
30317,41,23,993.0,1102.0,109.0
30321,85,35,563.0,750.0,187.0
30322,77,34,347.0,490.0,143.0
30324,80,36,515.0,699.0,184.0
30331,55,27,1050.0,1174.0,124.0
30332,55,27,855.0,989.0,134.0
30333,55,27,708.0,830.0,122.0
30342,87,28,395.0,552.0,157.0
30344,87,34,450.0,608.0,158.0
30346,87,34,590.0,755.0,165.0
30351,37,17,612.0,692.0,80.0
30353,45,19,990.0,1078.0,88.0
30357,33,15,536.0,625.0,89.0
30358,33,15,635.0,707.0,72.0
30361,90,31,758.0,918.0,160.0
30411,24,11,640.0,720.0,80.0
30412,24,11,542.0,605.0,63.0
30413,24,11,665.0,750.0,85.0
30414,24,11,575.0,636.0,61.0
30416,24,11,1030.0,1091.0,61.0
30451,24,11,1099.0,1165.0,66.0
30452,31,16,925.0,1015.0,90.0
30511,30,14,488.0,554.0,66.0
30552,37,17,1148.0,1244.0,96.0
30612,46,24,1030.0,1173.0,143.0
30711,67,26,874.0,991.0,117.0
30712,67,26,580.0,706.0,126.0
31051,67,26,432.0,557.0,125.0
31053,67,26,845.0,966.0,121.0
31055,67,26,1072.0,1200.0,128.0
31111,154,39,486.0,700.0,214.0
31112,154,37,950.0,1170.0,220.0
31151,116,35,615.0,783.0,168.0
31152,116,35,880.0,1060.0,180.0
31191,15,7,250.0,280.0,30.0
31192,15,7,1426.0,10.0,24.0
31211,25,9,350.0,390.0,40.0
31212,25,9,400.0,443.0,43.0
31213,25,4,408.0,445.0,37.0
31214,25,5,460.0,500.0,40.0
31215,25,5,453.0,490.0,37.0
31216,25,9,502.0,545.0,43.0
31217,25,9,466.0,507.0,41.0
31218,25,7,515.0,557.0,42.0
31219,25,9,480.0,518.0,38.0
31220,25,9,528.0,573.0,45.0
31221,25,9,518.0,558.0,40.0
31222,25,9,542.0,585.0,43.0
31223,25,9,550.0,588.0,38.0
31224,25,9,597.0,638.0,41.0
31225,25,9,574.0,614.0,40.0
31226,25,9,625.0,665.0,40.0
31227,25,9,580.0,620.0,40.0
31228,25,9,632.0,674.0,42.0
31229,25,9,605.0,645.0,40.0
31230,25,9,660.0,702.0,42.0
31231,25,9,822.0,862.0,40.0
31232,25,9,882.0,920.0,38.0
31233,25,9,890.0,930.0,40.0
31234,25,9,945.0,985.0,40.0
31235,25,9,968.0,1008.0,40.0
31236,25,9,1110.0,1150.0,40.0
31237,25,9,1108.0,1150.0,42.0
31238,25,9,1165.0,1205.0,40.0
31239,25,9,1108.0,1150.0,42.0
31240,25,9,1227.0,1267.0,40.0
31241,25,9,493.0,532.0,39.0
31261,20,9,1062.0,1098.0,36.0
31311,55,21,252.0,343.0,91.0
31312,55,21,302.0,390.0,88.0
31313,55,21,330.0,420.0,90.0
31314,55,21,362.0,450.0,88.0
31315,55,21,390.0,478.0,88.0
31316,55,21,430.0,520.0,90.0
31317,55,21,438.0,528.0,90.0
31318,55,21,555.0,645.0,90.0
31319,55,21,510.0,600.0,90.0
31320,55,12,612.0,695.0,83.0
31321,55,21,560.0,652.0,92.0
31322,55,21,798.0,906.0,108.0
31323,55,21,682.0,772.0,90.0
31324,55,21,856.0,945.0,89.0
31325,55,21,750.0,843.0,93.0
31326,55,21,920.0,1010.0,90.0
31327,55,21,815.0,907.0,92.0
31328,55,21,992.0,1080.0,88.0
31329,55,21,880.0,970.0,90.0
31330,55,21,1052.0,1142.0,90.0
31331,55,21,935.0,1026.0,91.0
31332,55,21,1147.0,1235.0,88.0
31333,55,21,1010.0,1100.0,90.0
31334,55,21,1202.0,1292.0,90.0
31335,55,21,1092.0,1186.0,94.0
31336,55,21,1274.0,1365.0,91.0
31337,55,13,1150.0,1234.0,84.0
31338,55,21,1332.0,1422.0,90.0
31339,55,21,1210.0,1303.0,93.0
31411,40,9,280.0,340.0,60.0
31412,40,15,245.0,310.0,65.0
31413,40,15,398.0,462.0,64.0
31414,40,15,290.0,355.0,65.0
31415,40,15,472.0,535.0,63.0
31416,40,15,472.0,538.0,66.0
31417,40,15,568.0,630.0,62.0
31418,40,15,510.0,578.0,68.0
31420,40,15,550.0,613.0,63.0
31421,40,15,645.0,708.0,63.0
31422,40,15,567.0,630.0,63.0
31423,40,15,675.0,738.0,63.0
31424,40,15,645.0,710.0,65.0
31425,40,15,740.0,805.0,65.0
31426,40,15,720.0,785.0,65.0
31427,40,15,787.0,852.0,65.0
31428,40,15,748.0,812.0,64.0
31429,40,15,832.0,897.0,65.0
31430,40,15,800.0,865.0,65.0
31431,40,15,962.0,1027.0,65.0
31432,40,15,820.0,882.0,62.0
31433,40,15,992.0,1058.0,66.0
31434,40,15,890.0,955.0,65.0
31435,40,15,1042.0,1107.0,65.0
31436,40,15,1042.0,1105.0,63.0
31437,40,15,1085.0,1150.0,65.0
31438,40,15,1160.0,1224.0,64.0
31439,40,15,1115.0,1179.0,64.0
31440,40,15,1187.0,1248.0,61.0
31441,40,15,1182.0,1245.0,63.0
31442,40,15,1215.0,1280.0,65.0
31443,40,15,1252.0,1315.0,63.0
31444,40,15,1268.0,1333.0,65.0
31445,40,15,1280.0,1345.0,65.0
31446,40,15,1292.0,1355.0,63.0
31447,40,15,1342.0,1407.0,65.0
31448,40,15,1328.0,1392.0,64.0
31449,40,15,1395.0,18.0,63.0
31450,40,15,1395.0,20.0,65.0
31451,40,15,1395.0,18.0,63.0
31471,35,15,435.0,492.0,57.0
31511,96,29,275.0,415.0,140.0
31512,96,28,202.0,340.0,138.0
31513,96,28,360.0,495.0,135.0
31514,96,29,286.0,425.0,139.0
31515,96,29,445.0,582.0,137.0
31516,96,29,352.0,487.0,135.0
31517,96,29,530.0,668.0,138.0
31518,96,25,448.0,580.0,132.0
31519,96,27,632.0,770.0,138.0
31520,96,28,517.0,652.0,135.0
31521,96,29,695.0,838.0,143.0
31522,96,29,605.0,742.0,137.0
31523,96,27,780.0,920.0,140.0
31524,96,28,690.0,822.0,132.0
31525,96,28,860.0,998.0,138.0
31526,96,29,792.0,932.0,140.0
31527,96,29,945.0,1085.0,140.0
31528,96,27,867.0,1000.0,133.0
31529,96,29,1017.0,1158.0,141.0
31530,96,29,940.0,1075.0,135.0
31531,96,23,1072.0,1200.0,128.0
31532,96,29,1030.0,1165.0,135.0
31533,96,27,1130.0,1270.0,140.0
31534,96,24,1108.0,1245.0,137.0
31535,96,27,1190.0,1330.0,140.0
31536,96,26,1192.0,1325.0,133.0
31537,96,28,1245.0,1383.0,138.0
31538,96,28,1255.0,1395.0,140.0
31539,96,28,1310.0,5.0,135.0
31540,96,27,1290.0,1430.0,140.0
31541,96,28,1360.0,55.0,135.0
31542,96,27,1365.0,58.0,133.0
31571,35,6,347.0,412.0,65.0
31584,15,2,422.0,460.0,38.0
31585,15,2,515.0,553.0,38.0
31586,15,2,565.0,602.0,37.0
31601,76,24,1072.0,1180.0,108.0
31602,76,24,465.0,566.0,101.0
31611,76,23,305.0,415.0,110.0
31612,76,24,260.0,365.0,105.0
31613,76,24,337.0,445.0,108.0
31614,76,24,365.0,470.0,105.0
31615,76,24,380.0,490.0,110.0
31616,76,24,440.0,550.0,110.0
31617,76,24,480.0,588.0,108.0
31618,76,11,450.0,550.0,100.0
31619,76,12,590.0,688.0,98.0
31620,76,20,515.0,618.0,103.0
31621,76,24,705.0,817.0,112.0
31622,76,24,612.0,718.0,106.0
31623,76,23,900.0,1008.0,108.0
31624,76,24,770.0,876.0,106.0
31625,76,16,985.0,1092.0,107.0
31626,76,10,930.0,1022.0,92.0
31627,76,24,1225.0,1335.0,110.0
31628,76,21,1045.0,1150.0,105.0
31629,76,24,1300.0,1408.0,108.0
31630,76,23,1122.0,1230.0,108.0
31631,76,24,1370.0,38.0,108.0
31632,76,24,1165.0,1275.0,110.0
31633,76,24,1420.0,88.0,108.0
31634,76,24,1208.0,1315.0,107.0
31636,76,23,1297.0,1405.0,108.0
31711,35,10,300.0,342.0,42.0
31712,35,9,245.0,287.0,42.0
31713,35,6,752.0,792.0,40.0
31714,35,6,700.0,740.0,40.0
31721,26,6,282.0,311.0,29.0
31722,26,6,478.0,512.0,34.0
31723,26,6,365.0,398.0,33.0
31724,26,5,1244.0,1275.0,31.0
31725,26,7,1340.0,1370.0,30.0
31726,26,7,1405.0,1438.0,33.0
31741,43,13,282.0,332.0,50.0
31742,43,13,382.0,432.0,50.0
31743,43,10,327.0,374.0,47.0
31744,43,13,458.0,508.0,50.0
31745,43,13,450.0,500.0,50.0
31746,43,13,592.0,645.0,53.0
31747,43,13,530.0,580.0,50.0
31748,43,13,715.0,768.0,53.0
31749,43,13,653.0,707.0,54.0
31750,43,13,990.0,1040.0,50.0
31751,43,13,820.0,870.0,50.0
31752,43,13,1050.0,1100.0,50.0
31753,43,13,920.0,970.0,50.0
31754,43,13,1110.0,1160.0,50.0
31755,43,13,1070.0,1120.0,50.0
31756,43,13,1250.0,1300.0,50.0
31757,43,13,1185.0,1235.0,50.0
31758,43,13,1318.0,1367.0,49.0
31765,154,25,300.0,495.0,195.0
31766,153,25,505.0,705.0,200.0
31767,154,29,455.0,650.0,195.0
31768,153,27,205.0,415.0,210.0
31770,153,29,715.0,935.0,220.0
31771,154,28,1025.0,1220.0,195.0
31772,153,29,1170.0,1383.0,213.0
31781,20,6,495.0,522.0,27.0
31782,19,6,538.0,565.0,27.0
31783,20,5,785.0,812.0,27.0
31784,19,5,646.0,675.0,29.0
31786,19,5,847.0,875.0,28.0
31801,102,29,1025.0,1169.0,144.0
31802,102,29,522.0,660.0,138.0
31811,102,29,200.0,348.0,148.0
31812,102,29,260.0,405.0,145.0
31813,102,30,320.0,462.0,142.0
31814,102,22,300.0,432.0,132.0
31815,102,29,370.0,514.0,144.0
31816,102,29,367.0,507.0,140.0
31817,102,30,415.0,562.0,147.0
31818,102,25,424.0,562.0,138.0
31819,102,21,575.0,710.0,135.0
31820,102,29,544.0,684.0,140.0
31821,102,29,652.0,795.0,143.0
31822,102,29,590.0,730.0,140.0
31823,102,28,725.0,866.0,141.0
31824,102,28,727.0,865.0,138.0
31825,102,30,795.0,935.0,140.0
31826,102,20,830.0,960.0,130.0
31827,102,30,925.0,1070.0,145.0
31828,102,29,920.0,1057.0,137.0
31829,102,23,975.0,1115.0,140.0
31830,102,26,987.0,1125.0,138.0
31831,102,16,1056.0,1189.0,133.0
31832,102,28,1112.0,1258.0,146.0
31833,102,22,1122.0,1259.0,137.0
31834,102,26,1164.0,1303.0,139.0
31835,102,29,1175.0,1317.0,142.0
31836,102,29,1200.0,1345.0,145.0
31837,102,28,1260.0,1402.0,142.0
31838,102,30,1337.0,40.0,143.0
31839,102,19,466.0,598.0,132.0
31840,102,16,1225.0,1375.0,150.0
31841,102,9,628.0,755.0,127.0
31842,102,9,1270.0,1405.0,135.0
31843,102,10,1170.0,1300.0,130.0
31844,102,10,857.0,975.0,118.0
31861,128,23,628.0,790.0,162.0
31862,127,24,1015.0,1195.0,180.0
31863,128,21,785.0,945.0,160.0
31864,127,20,1075.0,1240.0,165.0
31865,128,20,1330.0,40.0,150.0
31866,127,21,665.0,827.0,162.0
31911,119,36,260.0,422.0,162.0
31912,119,36,230.0,385.0,155.0
31913,119,36,460.0,628.0,168.0
31914,119,36,305.0,457.0,152.0
31915,119,36,598.0,759.0,161.0
31916,119,30,432.0,592.0,160.0
31917,119,36,765.0,940.0,175.0
31918,119,36,532.0,690.0,158.0
31919,119,36,845.0,1006.0,161.0
31920,119,35,640.0,794.0,154.0
31921,119,36,1035.0,1198.0,163.0
31922,119,36,845.0,1020.0,175.0
31923,119,36,1100.0,1264.0,164.0
31924,119,35,935.0,1092.0,157.0
31925,119,35,1157.0,1314.0,157.0
31926,119,36,1194.0,1355.0,161.0
31927,119,36,1232.0,1395.0,163.0
31928,119,31,1285.0,2.0,157.0
31929,119,36,1290.0,11.0,161.0
32211,28,9,247.0,290.0,43.0
32212,28,9,300.0,345.0,45.0
32213,28,9,297.0,344.0,47.0
32214,28,9,352.0,395.0,43.0
32215,28,9,342.0,385.0,43.0
32216,28,9,395.0,438.0,43.0
32217,28,9,365.0,412.0,47.0
32218,28,9,422.0,466.0,44.0
32219,28,9,402.0,445.0,43.0
32220,28,9,460.0,507.0,47.0
32221,28,9,472.0,515.0,43.0
32222,28,9,524.0,568.0,44.0
32223,28,9,503.0,547.0,44.0
32224,28,9,555.0,600.0,45.0
32225,28,9,528.0,571.0,43.0
32226,28,9,590.0,635.0,45.0
32227,28,9,590.0,632.0,42.0
32228,28,9,658.0,705.0,47.0
32229,28,9,615.0,662.0,47.0
32230,28,9,685.0,730.0,45.0
32231,28,9,650.0,695.0,45.0
32232,28,9,728.0,772.0,44.0
32233,28,9,732.0,777.0,45.0
32234,28,9,790.0,845.0,55.0
32235,28,9,805.0,847.0,42.0
32236,28,9,862.0,905.0,43.0
32237,28,9,926.0,970.0,44.0
32238,28,9,985.0,1027.0,42.0
32239,28,9,965.0,1005.0,40.0
32240,28,9,1030.0,1075.0,45.0
32241,28,9,1037.0,1082.0,45.0
32242,28,9,1090.0,1135.0,45.0
32243,28,9,1086.0,1129.0,43.0
32244,28,9,1110.0,1155.0,45.0
32245,28,9,1145.0,1190.0,45.0
32246,28,9,1155.0,1198.0,43.0
32247,28,9,1292.0,1335.0,43.0
32248,28,9,1232.0,1280.0,48.0
32249,28,9,1342.0,1387.0,45.0
32250,28,9,1352.0,1400.0,48.0
32252,28,9,1425.0,28.0,43.0
32411,39,13,852.0,912.0,60.0
32412,39,13,923.0,990.0,67.0
32413,39,13,1240.0,1310.0,70.0
32414,39,13,1370.0,1430.0,60.0
33061,66,26,872.0,1004.0,132.0
33212,9,3,693.0,710.0,17.0
33231,15,7,1097.0,1122.0,25.0
33232,15,7,1132.0,1157.0,25.0
33262,15,9,1032.0,1060.0,28.0
33271,50,18,1165.0,1245.0,80.0
33282,67,27,975.0,1085.0,110.0
33291,18,7,1070.0,1098.0,28.0
33311,52,19,243.0,333.0,90.0
33312,52,19,310.0,392.0,82.0
33313,52,19,290.0,375.0,85.0
33314,52,19,568.0,646.0,78.0
33315,52,19,472.0,552.0,80.0
33316,52,19,1180.0,1264.0,84.0
33317,52,19,1025.0,1110.0,85.0
33318,52,19,1344.0,1420.0,76.0
33319,52,19,1090.0,1172.0,82.0
33320,52,19,1228.0,1308.0,80.0
33321,52,19,1187.0,1270.0,83.0
33323,52,19,1333.0,1412.0,79.0
33325,52,19,1290.0,1375.0,85.0
33351,22,7,942.0,975.0,33.0
33357,7,3,422.0,435.0,13.0
33361,54,14,465.0,535.0,70.0
33362,54,12,565.0,630.0,65.0
33363,54,12,505.0,570.0,65.0
33364,54,12,1208.0,1282.0,74.0
33365,54,12,690.0,755.0,65.0
33366,54,12,1330.0,1400.0,70.0
33367,54,13,1060.0,1128.0,68.0
33382,35,10,1335.0,1383.0,48.0
33401,24,11,1092.0,1137.0,45.0
33402,25,11,575.0,620.0,45.0
33411,12,4,568.0,589.0,21.0
33412,12,4,603.0,625.0,22.0
33421,20,9,452.0,492.0,40.0
33422,20,9,532.0,575.0,43.0
33431,24,11,538.0,585.0,47.0
33432,25,11,316.0,365.0,49.0
33433,24,11,580.0,626.0,46.0
33434,25,11,495.0,542.0,47.0
33435,24,11,622.0,672.0,50.0
33436,25,11,640.0,687.0,47.0
33437,24,11,634.0,682.0,48.0
33438,25,11,880.0,925.0,45.0
33439,24,11,656.0,702.0,46.0
33440,25,11,972.0,1017.0,45.0
33441,24,11,976.0,1020.0,44.0
33443,24,11,1238.0,1284.0,46.0
33445,24,11,1272.0,1316.0,44.0
33447,24,11,1285.0,1330.0,45.0
33511,77,29,318.0,448.0,130.0
33512,77,29,183.0,330.0,147.0
33513,77,29,372.0,498.0,126.0
33514,77,29,288.0,415.0,127.0
33515,77,29,460.0,595.0,135.0
33516,77,25,406.0,535.0,129.0
33517,77,29,500.0,630.0,130.0
33518,77,26,462.0,592.0,130.0
33519,77,29,558.0,690.0,132.0
33520,77,29,647.0,780.0,133.0
33521,77,29,665.0,788.0,123.0
33522,77,29,692.0,820.0,128.0
33523,77,29,735.0,860.0,125.0
33524,77,24,725.0,850.0,125.0
33525,77,29,857.0,998.0,141.0
33526,77,29,795.0,918.0,123.0
33527,77,25,892.0,1028.0,136.0
33528,77,24,822.0,947.0,125.0
33529,77,25,1080.0,1205.0,125.0
33530,77,29,894.0,1032.0,138.0
33531,77,25,1185.0,1310.0,125.0
33532,77,29,1042.0,1177.0,135.0
33533,77,29,1335.0,26.0,131.0
33534,77,25,1082.0,1207.0,125.0
33536,77,29,1133.0,1270.0,137.0
33538,77,24,1286.0,1415.0,129.0
33611,32,13,302.0,364.0,62.0
33612,32,13,342.0,400.0,58.0
33613,32,13,445.0,505.0,60.0
33614,32,13,385.0,445.0,60.0
33615,32,13,510.0,570.0,60.0
33616,32,13,452.0,512.0,60.0
33617,32,13,597.0,657.0,60.0
33618,32,13,525.0,585.0,60.0
33619,32,13,984.0,1045.0,61.0
33620,32,13,583.0,645.0,62.0
33621,32,13,1127.0,1186.0,59.0
33622,32,11,670.0,725.0,55.0
33623,32,13,1190.0,1252.0,62.0
33624,32,13,1055.0,1112.0,57.0
33626,32,13,1125.0,1185.0,60.0
33628,32,13,1215.0,1275.0,60.0
33630,32,13,1265.0,1323.0,58.0
33651,47,17,285.0,363.0,78.0
33652,47,17,395.0,475.0,80.0
33653,47,17,408.0,488.0,80.0
33654,47,17,535.0,615.0,80.0
33655,47,17,680.0,757.0,77.0
33656,47,17,767.0,843.0,76.0
33657,47,17,717.0,795.0,78.0
33658,47,17,820.0,900.0,80.0
33659,47,17,812.0,890.0,78.0
33660,47,17,898.0,975.0,77.0
33664,47,17,995.0,1070.0,75.0
33666,47,17,1205.0,1287.0,82.0
33681,59,20,550.0,647.0,97.0
33682,60,20,697.0,790.0,93.0
33685,59,20,1223.0,1317.0,94.0
33686,60,20,1280.0,1374.0,94.0
33687,59,20,845.0,940.0,95.0
33688,60,20,955.0,1055.0,100.0
33711,32,8,265.0,308.0,43.0
33712,32,8,262.0,308.0,46.0
33713,32,9,382.0,428.0,46.0
33714,32,9,380.0,425.0,45.0
33715,32,8,442.0,490.0,48.0
33716,32,8,440.0,485.0,45.0
33717,32,8,514.0,555.0,41.0
33718,32,9,563.0,609.0,46.0
33719,32,8,567.0,608.0,41.0
33720,32,8,620.0,665.0,45.0
33721,32,9,622.0,666.0,44.0
33722,32,8,740.0,780.0,40.0
33723,32,8,680.0,725.0,45.0
33724,32,8,780.0,825.0,45.0
33725,32,8,860.0,905.0,45.0
33726,32,9,855.0,897.0,42.0
33727,32,8,925.0,970.0,45.0
33728,32,8,920.0,963.0,43.0
33729,32,9,994.0,1040.0,46.0
33730,32,9,990.0,1032.0,42.0
33731,32,8,1085.0,1130.0,45.0
33732,32,8,1080.0,1122.0,42.0
33733,32,9,1130.0,1172.0,42.0
33734,32,8,1176.0,1217.0,41.0
33735,32,9,1180.0,1226.0,46.0
33736,32,9,1254.0,1297.0,43.0
33737,32,8,1258.0,1303.0,45.0
33738,32,8,1389.0,1432.0,43.0
33739,32,9,1392.0,1438.0,46.0
33751,52,12,756.0,825.0,69.0
33752,52,12,676.0,748.0,72.0
33801,79,24,1050.0,1166.0,116.0
33802,79,24,435.0,555.0,120.0
33811,79,17,195.0,302.0,107.0
33812,79,23,178.0,305.0,127.0
33813,79,23,255.0,368.0,113.0
33814,79,21,265.0,377.0,112.0
33815,79,24,295.0,410.0,115.0
33816,79,22,315.0,425.0,110.0
33817,79,21,356.0,465.0,109.0
33818,79,24,340.0,456.0,116.0
33819,79,23,430.0,550.0,120.0
33820,79,22,375.0,485.0,110.0
33821,79,24,490.0,605.0,115.0
33822,79,24,410.0,528.0,118.0
33823,79,24,522.0,637.0,115.0
33824,79,24,488.0,605.0,117.0
33825,79,23,605.0,720.0,115.0
33826,79,24,512.0,630.0,118.0
33827,79,24,688.0,805.0,117.0
33828,79,24,545.0,665.0,120.0
33829,79,24,747.0,860.0,113.0
33830,79,24,628.0,750.0,122.0
33831,79,24,767.0,880.0,113.0
33832,79,23,690.0,838.0,148.0
33833,79,23,835.0,950.0,115.0
33834,79,24,767.0,885.0,118.0
33835,79,24,910.0,1025.0,115.0
33836,79,23,852.0,965.0,113.0
33837,79,24,950.0,1065.0,115.0
33838,79,24,895.0,1008.0,113.0
33839,79,24,1002.0,1115.0,113.0
33840,79,24,922.0,1040.0,118.0
33841,79,24,1030.0,1145.0,115.0
33842,79,24,1015.0,1130.0,115.0
33843,79,24,1065.0,1185.0,120.0
33844,79,23,1050.0,1170.0,120.0
33845,79,24,1116.0,1230.0,114.0
33846,79,24,1108.0,1225.0,117.0
33847,79,23,1135.0,1250.0,115.0
33848,79,23,1137.0,1253.0,116.0
33849,79,24,1165.0,1285.0,120.0
33850,79,24,1180.0,1297.0,117.0
33851,79,24,1205.0,1320.0,115.0
33852,79,23,1240.0,1360.0,120.0
33853,79,24,1262.0,1375.0,113.0
33854,79,22,1275.0,1390.0,115.0
33855,79,23,1305.0,1420.0,115.0
33856,79,17,1295.0,1410.0,115.0
33857,79,23,1352.0,25.0,113.0
33858,79,23,1360.0,30.0,110.0
33859,79,22,1378.0,50.0,112.0
33860,79,24,975.0,1092.0,117.0
33861,79,23,1420.0,95.0,115.0
33863,79,24,865.0,985.0,120.0
33895,65,15,932.0,1022.0,90.0
33896,65,15,1095.0,1190.0,95.0
34052,67,26,352.0,472.0,120.0
34054,67,26,1118.0,1242.0,124.0
34056,82,32,667.0,820.0,153.0
34062,120,41,647.0,854.0,207.0
34111,30,11,280.0,330.0,50.0
34112,30,11,220.0,270.0,50.0
34113,30,11,345.0,402.0,57.0
34114,30,11,276.0,330.0,54.0
34115,30,11,395.0,450.0,55.0
34116,30,11,332.0,385.0,53.0
34117,30,11,485.0,542.0,57.0
34118,30,11,370.0,423.0,53.0
34119,30,11,505.0,560.0,55.0
34120,30,11,440.0,495.0,55.0
34121,30,11,546.0,599.0,53.0
34122,30,11,490.0,538.0,48.0
34123,30,11,577.0,632.0,55.0
34124,30,11,515.0,566.0,51.0
34125,30,11,623.0,675.0,52.0
34126,30,11,562.0,615.0,53.0
34127,30,11,655.0,710.0,55.0
